    2     5     4.754276176478917e+06
   -1.317166632301192e-02     1.585258274196877e+01     1.261172748280164e-02    -2.153263048067060e+00
   -1.988156522421698e-04     9.426469287518469e+00     3.515563501331491e-04    -2.003083586937637e+00
   -1.166695585979868e-07     3.141593548270519e+00     3.673502695048175e-07    -2.000002830271054e+00
    2    15     2.635002559079762e+02
   -5.114065966622117e+02     8.936507958623726e+01     1.945281468416921e+01     5.407265327360384e+01
   -4.062268650550005e+02     2.217612088065892e+02     4.306123267366677e+01     2.781158521875630e+01
   -2.679562277212592e+02     2.639459577395004e+02     4.168085348003856e+01     7.827216221003346e-01
   -1.558649586430436e+02     2.412763662304596e+02     2.910231099008997e+01    -1.292226320855806e+01
   -8.403314427814890e+01     1.940707686957161e+02     1.722113834643294e+01    -1.588039862394899e+01
   -4.332772177203707e+01     1.464156872544164e+02     9.359133482356702e+00    -1.404048337348538e+01
   -2.168279729232532e+01     1.070573072146486e+02     4.871289478653694e+00    -1.097661233897070e+01
   -1.053793311572390e+01     7.721260254532646e+01     2.481899557929571e+00    -8.104760341445957e+00
   -4.887168088158905e+00     5.553087645137526e+01     1.253008775579792e+00    -5.797195381904102e+00
   -2.038222987249636e+00     4.020387551153076e+01     6.305089163750802e-01    -4.045004019026272e+00
   -6.288661726578217e-01     2.961642336847731e+01     2.940170968520652e-01    -2.777421793167176e+00
   -8.439255346704523e-02     2.211157840630456e+01     7.221298359039841e-02    -2.119243333659646e+00
   -2.315587080161116e-03     1.571023862887294e+01     3.370262932733660e-03    -2.003530196218343e+00
   -7.859026601898820e-06     9.424784108720845e+00     1.731008268421628e-05    -2.000013858491859e+00
   -1.309314700314198e-09     3.141592654510955e+00     4.615440311858388e-09    -2.000000003262454e+00
    2    20     1.094344975543047e+07
   -1.843340376824855e+07     7.706592728737802e+06     3.690251956475755e+06     3.641952140790702e+06
   -6.310869391131245e+06     9.840582271795252e+06     2.790426848799685e+06    -1.280800826922408e+06
   -1.376419175767611e+06     5.283211086231250e+06     7.030168549697653e+05    -1.257643244584517e+06
   -2.688884224216870e+05     2.398035423845490e+06     1.411886485631274e+05    -6.216677669302863e+05
   -5.137710500981526e+04     1.053541628178468e+06     2.711976968446797e+04    -2.773984519972565e+05
   -9.775012002737843e+03     4.599845946876111e+05     5.164982872229454e+03    -1.214699096563232e+05
   -1.858286238681387e+03     2.005951131898834e+05     9.820801364308887e+02    -5.300140666708574e+04
   -3.532164486406742e+02     8.745801132727422e+04     1.866770648156537e+02    -2.311067112948131e+04
   -6.713615726438483e+01     3.812942507138038e+04     3.548211742885658e+01    -1.007585568270761e+04
   -1.276055454167964e+01     1.662330568924942e+04     6.744088373584011e+00    -4.392792697917959e+03
   -2.425391136915597e+00     7.247261002033346e+03     1.281846600307488e+00    -1.915126280273689e+03
   -4.609905141385088e-01     3.159588607322258e+03     2.436400520924584e-01    -8.349365756215076e+02
   -8.761771661289432e-02     1.377490100893101e+03     4.630856000365761e-02    -3.640056707263396e+02
   -1.665091004308733e-02     6.005559175283905e+02     8.801847957688942e-03    -1.586922720759284e+02
   -3.162279819539571e-03     2.618516648008789e+02     1.672963434280613e-03    -6.917776119705825e+01
   -5.985018100927118e-04     1.142223461855365e+02     3.179793311526134e-04    -3.014283286278016e+01
   -1.112076804732382e-04     4.994066120095570e+01     6.043608081467732e-05    -1.310436867180438e+01
   -1.863718554027241e-05     2.208159867595298e+01     1.143526225643599e-05    -5.646412859723841e+00
   -1.741486416532828e-06     9.986633955836457e+00     1.714068815178379e-06    -2.591754571863651e+00
   -1.437803566715412e-08     3.145258673585706e+00     3.344087840258191e-08    -2.008710099030617e+00
    2    20     2.017713616400269e+06
   -3.513344352983811e+06     1.309314866250858e+06     5.702461395212540e+05     6.588271925886495e+05
   -1.441997872322787e+06     1.921064125313279e+06     5.407969321635104e+05    -1.572635932487692e+05
   -3.866462132480044e+05     1.182195672718637e+06     1.730983776389920e+05    -2.363231333492580e+05
   -9.140064554676184e+04     5.978009732383400e+05     4.261051037490748e+04    -1.360884057135358e+05
   -2.095264501593017e+04     2.887879885537566e+05     9.858535159363310e+03    -6.758191296856185e+04
   -4.769195697278365e+03     1.380585697064890e+05     2.248688258417920e+03    -3.250864819868572e+04
   -1.083797998470479e+03     6.584383610131998e+04     5.112570644978483e+02    -1.552595825450053e+04
   -2.462020598654694e+02     3.138573301310041e+04     1.161527984543761e+02    -7.403098068133852e+03
   -5.592404878843604e+01     1.495877903690297e+04     2.638441102246710e+01    -3.528650667788154e+03
   -1.270272338377913e+01     7.129317781697649e+03     5.993060094777460e+00    -1.681773289946056e+03
   -2.885301920713309e+00     3.397796128974548e+03     1.361275769354281e+00    -8.015261931489052e+02
   -6.553551740698245e-01     1.619374189762830e+03     3.092023205184201e-01    -3.820013851445188e+02
   -1.488416738066650e-01     7.717953298672829e+02     7.023267030014961e-02    -1.820566517998944e+02
   -3.379145712496281e-02     3.678576953499330e+02     1.595275082353307e-02    -8.676114496760820e+01
   -7.658782225027643e-03     1.753710201919258e+02     3.623532170723744e-03    -4.133745880859607e+01
   -1.722960623943232e-03     8.369042250538658e+01     8.230585301372153e-04    -1.967543159501197e+01
   -3.746827891786966e-04     4.011401309500958e+01     1.869399833383931e-04    -9.325199391087438e+00
   -6.898404003858887e-05     1.955789105661458e+01     4.186515468561719e-05    -4.370117040865639e+00
   -5.700188323553038e-06     9.692098428416061e+00     6.147897251077524e-06    -2.311820447484295e+00
   -3.004041861052978e-08     3.142707342514222e+00     7.477918316363095e-08    -2.002820348497667e+00
    2    20     1.069717540448873e+05
   -1.959655367138746e+05     5.745751043909320e+04     2.031064741891039e+04     3.165835297690931e+04
   -1.082740367096186e+05     1.063897037408112e+05     2.807761526179717e+04     4.929726536221493e+02
